# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/cos_theta
LegendOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/cos_theta
# END PLOT

# BEGIN HISTO1D //home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/cos_theta
LineColor=red
LineStyle=solid
Path=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/cos_theta
ScaledBy=1.08856568289512991e-07
Title=Analysis_all
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+00	-9.600000e-01	2.069530e+00	2.274776e-02	2.274776e-02
-9.600000e-01	-9.200000e-01	1.596184e+00	1.997574e-02	1.997574e-02
-9.200000e-01	-8.800000e-01	9.824292e-01	1.567130e-02	1.567130e-02
-8.800000e-01	-8.400000e-01	8.351900e-01	1.444931e-02	1.444931e-02
-8.400000e-01	-8.000000e-01	6.594525e-01	1.283944e-02	1.283944e-02
-8.000000e-01	-7.600000e-01	5.527102e-01	1.175447e-02	1.175447e-02
-7.600000e-01	-7.200000e-01	4.947142e-01	1.112069e-02	1.112069e-02
-7.200000e-01	-6.800000e-01	4.657165e-01	1.078984e-02	1.078984e-02
-6.800000e-01	-6.400000e-01	4.087205e-01	1.010806e-02	1.010806e-02
-6.400000e-01	-6.000000e-01	3.662235e-01	9.568140e-03	9.568140e-03
-6.000000e-01	-5.600000e-01	3.457250e-01	9.296508e-03	9.296508e-03
-5.600000e-01	-5.200000e-01	3.212267e-01	8.961079e-03	8.961079e-03
-5.200000e-01	-4.800000e-01	3.072277e-01	8.763643e-03	8.763643e-03
-4.800000e-01	-4.400000e-01	3.059780e-01	8.745799e-03	8.745799e-03
-4.400000e-01	-4.000000e-01	2.859795e-01	8.455157e-03	8.455157e-03
-4.000000e-01	-3.600000e-01	2.722305e-01	8.249405e-03	8.249405e-03
-3.600000e-01	-3.200000e-01	2.662308e-01	8.157998e-03	8.157998e-03
-3.200000e-01	-2.800000e-01	2.632310e-01	8.111905e-03	8.111905e-03
-2.800000e-01	-2.400000e-01	2.742302e-01	8.279651e-03	8.279651e-03
-2.400000e-01	-2.000000e-01	2.569815e-01	8.015033e-03	8.015033e-03
-2.000000e-01	-1.600000e-01	2.317333e-01	7.611121e-03	7.611121e-03
-1.600000e-01	-1.200000e-01	2.472322e-01	7.861527e-03	7.861527e-03
-1.200000e-01	-8.000000e-02	2.437325e-01	7.805686e-03	7.805686e-03
-8.000000e-02	-4.000000e-02	2.412326e-01	7.765553e-03	7.765553e-03
-4.000000e-02	0.000000e+00	2.287335e-01	7.561697e-03	7.561697e-03
0.000000e+00	4.000000e-02	2.439824e-01	7.809687e-03	7.809687e-03
4.000000e-02	8.000000e-02	2.379828e-01	7.713069e-03	7.713069e-03
8.000000e-02	1.200000e-01	2.579815e-01	8.030609e-03	8.030609e-03
1.200000e-01	1.600000e-01	2.464822e-01	7.849594e-03	7.849594e-03
1.600000e-01	2.000000e-01	2.479821e-01	7.873441e-03	7.873441e-03
2.000000e-01	2.400000e-01	2.432325e-01	7.797676e-03	7.797676e-03
2.400000e-01	2.800000e-01	2.424825e-01	7.785645e-03	7.785645e-03
2.800000e-01	3.200000e-01	2.577315e-01	8.026721e-03	8.026721e-03
3.200000e-01	3.600000e-01	2.767300e-01	8.317305e-03	8.317305e-03
3.600000e-01	4.000000e-01	2.807297e-01	8.377194e-03	8.377194e-03
4.000000e-01	4.400000e-01	2.764800e-01	8.313547e-03	8.313547e-03
4.400000e-01	4.800000e-01	3.084778e-01	8.781451e-03	8.781451e-03
4.800000e-01	5.200000e-01	3.072280e-01	8.763643e-03	8.763643e-03
5.200000e-01	5.600000e-01	3.234767e-01	8.992407e-03	8.992407e-03
5.600000e-01	6.000000e-01	3.424753e-01	9.252712e-03	9.252712e-03
6.000000e-01	6.400000e-01	3.754730e-01	9.688214e-03	9.688214e-03
6.400000e-01	6.800000e-01	4.002212e-01	1.000241e-02	1.000241e-02
6.800000e-01	7.200000e-01	4.372185e-01	1.045451e-02	1.045451e-02
7.200000e-01	7.600000e-01	4.972142e-01	1.114875e-02	1.114875e-02
7.600000e-01	8.000000e-01	5.454607e-01	1.167713e-02	1.167713e-02
8.000000e-01	8.400000e-01	6.504533e-01	1.275153e-02	1.275153e-02
8.400000e-01	8.800000e-01	7.894432e-01	1.404801e-02	1.404801e-02
8.800000e-01	9.200000e-01	1.063423e+00	1.630450e-02	1.630450e-02
9.200000e-01	9.600000e-01	1.573515e+00	1.983559e-02	1.983559e-02
9.600000e-01	1.000000e+00	2.051545e+00	2.265181e-02	2.265181e-02
# END HISTO1D

