# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/eta
LegendOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/eta
# END PLOT

# BEGIN HISTO1D //home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/eta
LineColor=red
LineStyle=solid
Path=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/eta
ScaledBy=1.08856568289512991e-07
Title=Analysis_all
# xlow	 xhigh	 val	 errminus	 errplus
-2.500000e+00	-2.400000e+00	1.351903e-01	3.676690e-03	3.676690e-03
-2.400000e+00	-2.300000e+00	1.413920e-01	3.760106e-03	3.760106e-03
-2.300000e+00	-2.200000e+00	1.525144e-01	3.905517e-03	3.905517e-03
-2.200000e+00	-2.100000e+00	1.548646e-01	3.936169e-03	3.936169e-03
-2.100000e+00	-2.000000e+00	1.559329e-01	3.949291e-03	3.949291e-03
-2.000000e+00	-1.900000e+00	1.628214e-01	4.035418e-03	4.035418e-03
-1.900000e+00	-1.800000e+00	1.793977e-01	4.235515e-03	4.235515e-03
-1.800000e+00	-1.700000e+00	1.848867e-01	4.299691e-03	4.299691e-03
-1.700000e+00	-1.600000e+00	1.766873e-01	4.203268e-03	4.203268e-03
-1.600000e+00	-1.500000e+00	1.864866e-01	4.318253e-03	4.318253e-03
-1.500000e+00	-1.400000e+00	1.845867e-01	4.296201e-03	4.296201e-03
-1.400000e+00	-1.300000e+00	2.086850e-01	4.568040e-03	4.568040e-03
-1.300000e+00	-1.200000e+00	2.151845e-01	4.638631e-03	4.638631e-03
-1.200000e+00	-1.100000e+00	2.159844e-01	4.647245e-03	4.647245e-03
-1.100000e+00	-1.000000e+00	2.127847e-01	4.612693e-03	4.612693e-03
-1.000000e+00	-9.000000e-01	2.272837e-01	4.767256e-03	4.767256e-03
-9.000000e-01	-8.000000e-01	2.376829e-01	4.875098e-03	4.875098e-03
-8.000000e-01	-7.000000e-01	2.253838e-01	4.747290e-03	4.747290e-03
-7.000000e-01	-6.000000e-01	2.272837e-01	4.767256e-03	4.767256e-03
-6.000000e-01	-5.000000e-01	2.283836e-01	4.778777e-03	4.778777e-03
-5.000000e-01	-4.000000e-01	2.384828e-01	4.883295e-03	4.883295e-03
-4.000000e-01	-3.000000e-01	2.369830e-01	4.867914e-03	4.867914e-03
-3.000000e-01	-2.000000e-01	2.482821e-01	4.982613e-03	4.982613e-03
-2.000000e-01	-1.000000e-01	2.361830e-01	4.859691e-03	4.859691e-03
-1.000000e-01	0.000000e+00	2.356830e-01	4.854545e-03	4.854545e-03
0.000000e+00	1.000000e-01	2.461823e-01	4.961498e-03	4.961498e-03
1.000000e-01	2.000000e-01	2.406827e-01	4.905766e-03	4.905766e-03
2.000000e-01	3.000000e-01	2.293835e-01	4.789227e-03	4.789227e-03
3.000000e-01	4.000000e-01	2.400827e-01	4.899647e-03	4.899647e-03
4.000000e-01	5.000000e-01	2.370829e-01	4.868941e-03	4.868941e-03
5.000000e-01	6.000000e-01	2.312834e-01	4.809020e-03	4.809020e-03
6.000000e-01	7.000000e-01	2.269837e-01	4.764109e-03	4.764109e-03
7.000000e-01	8.000000e-01	2.290835e-01	4.786094e-03	4.786094e-03
8.000000e-01	9.000000e-01	2.245838e-01	4.738857e-03	4.738857e-03
9.000000e-01	1.000000e+00	2.242839e-01	4.735691e-03	4.735691e-03
1.000000e+00	1.100000e+00	2.143846e-01	4.630001e-03	4.630001e-03
1.100000e+00	1.200000e+00	2.126847e-01	4.611609e-03	4.611609e-03
1.200000e+00	1.300000e+00	2.051852e-01	4.529575e-03	4.529575e-03
1.300000e+00	1.400000e+00	2.050852e-01	4.528471e-03	4.528471e-03
1.400000e+00	1.500000e+00	2.016855e-01	4.490779e-03	4.490779e-03
1.500000e+00	1.600000e+00	1.933861e-01	4.397411e-03	4.397411e-03
1.600000e+00	1.700000e+00	1.879865e-01	4.335584e-03	4.335584e-03
1.700000e+00	1.800000e+00	1.733168e-01	4.163351e-03	4.163351e-03
1.800000e+00	1.900000e+00	1.731497e-01	4.161763e-03	4.161763e-03
1.900000e+00	2.000000e+00	1.614053e-01	4.018955e-03	4.018955e-03
2.000000e+00	2.100000e+00	1.580866e-01	3.977182e-03	3.977182e-03
2.100000e+00	2.200000e+00	1.579345e-01	3.975954e-03	3.975954e-03
2.200000e+00	2.300000e+00	1.421587e-01	3.771254e-03	3.771254e-03
2.300000e+00	2.400000e+00	1.416972e-01	3.764236e-03	3.764236e-03
2.400000e+00	2.500000e+00	1.331904e-01	3.649394e-03	3.649394e-03
# END HISTO1D

