# BEGIN PLOT
Legend=1
LogY=1
DrawOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/inv_m
LegendOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/inv_m
# END PLOT

# BEGIN HISTO1D //home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/inv_m
LineColor=red
LineStyle=solid
Path=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/inv_m
Title=Analysis_all
# xlow	 xhigh	 val	 errminus	 errplus
4.000000e+01	4.490531e+01	1.742163e+05	1.806775e+03	1.806775e+03
4.490531e+01	5.041216e+01	2.271028e+05	1.946468e+03	1.946468e+03
5.041216e+01	5.659434e+01	2.021636e+05	1.733156e+03	1.733156e+03
5.659434e+01	6.353465e+01	1.651638e+05	1.478513e+03	1.478513e+03
6.353465e+01	7.132608e+01	1.275039e+05	1.226056e+03	1.226056e+03
7.132608e+01	8.007298e+01	9.468338e+04	9.971647e+02	9.971647e+02
8.007298e+01	8.989254e+01	6.739006e+04	7.939788e+02	7.939788e+02
8.989254e+01	1.009163e+02	4.754624e+04	6.294340e+02	6.294340e+02
1.009163e+02	1.132919e+02	3.346787e+04	4.984114e+02	4.984114e+02
1.132919e+02	1.271852e+02	2.361014e+04	3.950969e+02	3.950969e+02
1.271852e+02	1.427823e+02	1.586012e+04	3.056247e+02	3.056247e+02
1.427823e+02	1.602921e+02	1.050785e+04	2.347867e+02	2.347867e+02
1.602921e+02	1.799491e+02	7.135687e+03	1.826066e+02	1.826066e+02
1.799491e+02	2.020167e+02	4.612101e+03	1.385571e+02	1.385571e+02
2.020167e+02	2.267906e+02	2.914354e+03	1.039516e+02	1.039516e+02
2.267906e+02	2.546025e+02	2.047741e+03	8.223928e+01	8.223928e+01
2.546025e+02	2.858251e+02	1.217995e+03	5.986117e+01	5.986117e+01
2.858251e+02	3.208766e+02	8.019160e+02	4.584249e+01	4.584249e+01
3.208766e+02	3.602265e+02	5.112280e+02	3.454558e+01	3.454558e+01
3.602265e+02	4.044020e+02	3.285412e+02	2.613732e+01	2.613732e+01
4.044020e+02	4.539949e+02	1.926318e+02	1.888910e+01	1.888910e+01
4.539949e+02	5.096695e+02	1.402413e+02	1.521130e+01	1.521130e+01
5.096695e+02	5.721717e+02	7.054400e+01	1.018215e+01	1.018215e+01
5.721717e+02	6.423386e+02	4.189206e+01	7.405542e+00	7.405542e+00
6.423386e+02	7.211103e+02	4.081426e+01	6.898869e+00	6.898869e+00
7.211103e+02	8.095419e+02	1.558109e+01	4.023020e+00	4.023020e+00
8.095419e+02	9.088182e+02	1.017797e+01	3.068774e+00	3.068774e+00
9.088182e+02	1.020269e+03	3.296787e+00	1.648394e+00	1.648394e+00
1.020269e+03	1.145387e+03	4.404997e+00	1.798332e+00	1.798332e+00
1.145387e+03	1.285849e+03	1.307932e+00	9.248478e-01	9.248478e-01
1.285849e+03	1.443536e+03	1.747590e+00	1.008971e+00	1.008971e+00
1.443536e+03	1.620561e+03	1.037790e+00	7.338284e-01	7.338284e-01
1.620561e+03	1.819295e+03	4.622128e-01	4.622128e-01	4.622128e-01
1.819295e+03	2.042399e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.042399e+03	2.292864e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.292864e+03	2.574044e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.574044e+03	2.889706e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.889706e+03	3.244078e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.244078e+03	3.641908e+03	2.308961e-01	2.308961e-01	2.308961e-01
3.641908e+03	4.088525e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.088525e+03	4.589912e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.589912e+03	5.152785e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.152785e+03	5.784685e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.784685e+03	6.494076e+03	0.000000e+00	0.000000e+00	0.000000e+00
6.494076e+03	7.290461e+03	0.000000e+00	0.000000e+00	0.000000e+00
7.290461e+03	8.184510e+03	0.000000e+00	0.000000e+00	0.000000e+00
8.184510e+03	9.188198e+03	0.000000e+00	0.000000e+00	0.000000e+00
9.188198e+03	1.031497e+04	0.000000e+00	0.000000e+00	0.000000e+00
1.031497e+04	1.157992e+04	0.000000e+00	0.000000e+00	0.000000e+00
1.157992e+04	1.300000e+04	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

