# BEGIN PLOT
Legend=1
LogY=1
Title="$\ensuremath{p_\perp}\xspace$"
XLabel="Test"
YLabel="Test"
LogX=1
DrawOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/pT
LegendOnly=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/pT
# END PLOT

# BEGIN HISTO1D //home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/pT
LineColor=red
LineStyle=solid
Path=//home/hiro/Documents/Projects/UNI/Bachelor/prog/runcards/pp/out/Analysis_all.yoda/MC_DIPHOTON_PROTON/pT
ScaledBy=1.08856568289512991e-07
Title=Analysis_all
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e+01	2.245265e+01	1.036881e-01	6.502569e-04	6.502569e-04
2.245265e+01	2.520608e+01	6.969104e-02	5.030969e-04	5.030969e-04
2.520608e+01	2.829717e+01	4.622955e-02	3.867126e-04	3.867126e-04
2.829717e+01	3.176733e+01	3.113176e-02	2.995102e-04	2.995102e-04
3.176733e+01	3.566304e+01	2.059553e-02	2.299204e-04	2.299204e-04
3.566304e+01	4.003649e+01	1.351467e-02	1.757823e-04	1.757823e-04
4.003649e+01	4.494627e+01	8.844973e-03	1.342152e-04	1.342152e-04
4.494627e+01	5.045815e+01	6.088228e-03	1.050945e-04	1.050945e-04
5.045815e+01	5.664597e+01	3.820134e-03	7.856965e-05	7.856965e-05
5.664597e+01	6.359261e+01	2.491672e-03	5.988837e-05	5.988837e-05
6.359261e+01	7.139114e+01	1.698916e-03	4.667280e-05	4.667280e-05
7.139114e+01	8.014603e+01	1.026781e-03	3.424506e-05	3.424506e-05
8.014603e+01	8.997455e+01	6.806232e-04	2.631441e-05	2.631441e-05
8.997455e+01	1.010084e+02	4.286500e-04	1.970935e-05	1.970935e-05
1.010084e+02	1.133953e+02	3.059464e-04	1.571541e-05	1.571541e-05
1.133953e+02	1.273013e+02	1.740131e-04	1.118598e-05	1.118598e-05
1.273013e+02	1.429125e+02	1.216987e-04	8.828955e-06	8.828955e-06
1.429125e+02	1.604383e+02	6.960664e-05	6.301889e-06	6.301889e-06
1.604383e+02	1.801133e+02	3.913314e-05	4.459636e-06	4.459636e-06
1.801133e+02	2.022010e+02	2.897332e-05	3.621665e-06	3.621665e-06
2.022010e+02	2.269975e+02	1.572689e-05	2.518318e-06	2.518318e-06
2.269975e+02	2.548348e+02	1.005772e-05	1.900731e-06	1.900731e-06
2.548348e+02	2.860858e+02	4.799501e-06	1.239226e-06	1.239226e-06
2.860858e+02	3.211693e+02	3.135152e-06	9.452838e-07	9.452838e-07
3.211693e+02	3.605551e+02	3.046565e-06	8.794672e-07	8.794672e-07
3.605551e+02	4.047710e+02	9.045868e-07	4.522934e-07	4.522934e-07
4.047710e+02	4.544091e+02	1.007218e-06	4.504417e-07	4.504417e-07
4.544091e+02	5.101345e+02	1.794385e-07	1.794385e-07	1.794385e-07
5.101345e+02	5.726936e+02	3.196747e-07	2.260441e-07	2.260441e-07
5.726936e+02	6.429246e+02	2.847540e-07	2.013515e-07	2.013515e-07
6.429246e+02	7.217681e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.217681e+02	8.102804e+02	0.000000e+00	0.000000e+00	0.000000e+00
8.102804e+02	9.096473e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.096473e+02	1.021200e+03	8.963727e-08	8.963727e-08	8.963727e-08
1.021200e+03	1.146432e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.146432e+03	1.287022e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.287022e+03	1.444853e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.444853e+03	1.622039e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.622039e+03	1.820954e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.820954e+03	2.044263e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.044263e+03	2.294956e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.294956e+03	2.576392e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.576392e+03	2.892342e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.892342e+03	3.247038e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.247038e+03	3.645231e+03	0.000000e+00	0.000000e+00	0.000000e+00
3.645231e+03	4.092255e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.092255e+03	4.594099e+03	0.000000e+00	0.000000e+00	0.000000e+00
4.594099e+03	5.157486e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.157486e+03	5.789962e+03	0.000000e+00	0.000000e+00	0.000000e+00
5.789962e+03	6.500000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

